scaffold,coverage
NODE_162_length_3223_cov_2.862689,3.747478008
NODE_163_length_3216_cov_2.112306,2.66046977
NODE_164_length_3212_cov_2.710485,3.564663649
NODE_165_length_3198_cov_3.178810,3.854330778
NODE_166_length_3198_cov_3.129494,4.22276926
NODE_167_length_3188_cov_2.059049,2.743252039
NODE_168_length_3187_cov_2.547254,3.450773716
NODE_169_length_3153_cov_2.719819,3.625041723
NODE_170_length_3150_cov_2.252342,3.055999994
NODE_171_length_3131_cov_3.232770,4.264340878
NODE_172_length_3125_cov_3.005212,3.862857103
NODE_173_length_3113_cov_2.544474,3.395882607
NODE_174_length_3112_cov_3.465489,4.427751541
NODE_175_length_3110_cov_2.819967,3.724324226
NODE_176_length_3110_cov_2.478232,3.268243313
NODE_177_length_3105_cov_2.723607,3.57123518
NODE_178_length_3104_cov_3.070187,3.971564054
NODE_179_length_3103_cov_2.519685,3.173382998
NODE_180_length_3096_cov_2.967116,3.863204241
NODE_181_length_3087_cov_2.462401,3.323799849
NODE_182_length_3078_cov_3.079391,3.889685869
NODE_183_length_3075_cov_3.797351,4.9189744
NODE_184_length_3075_cov_3.058278,4.079999924
NODE_185_length_3074_cov_3.088109,4.127223015
NODE_186_length_3073_cov_2.688867,3.557646275
NODE_187_length_3069_cov_2.226941,3.032202721
NODE_188_length_3066_cov_2.314181,2.958161831
NODE_189_length_3065_cov_2.578738,3.415094376
NODE_190_length_3064_cov_2.777667,3.470487356
NODE_191_length_3063_cov_2.866689,3.891520739
NODE_192_length_3045_cov_3.365552,4.44248724
NODE_193_length_3030_cov_2.321008,3.002430439
NODE_194_length_3028_cov_2.876219,3.866921425
NODE_195_length_3025_cov_3.786869,4.915130615
NODE_196_length_3008_cov_2.226888,2.879986048
NODE_197_length_2999_cov_2.730978,3.612144709
NODE_198_length_2998_cov_2.839280,3.60744381
NODE_199_length_2991_cov_2.771117,3.784934998
NODE_200_length_2983_cov_2.375342,3.175785303
NODE_201_length_2982_cov_3.164332,4.290607452
NODE_202_length_2979_cov_2.046854,2.775185585
NODE_203_length_2968_cov_3.146928,4.169623852
NODE_204_length_2963_cov_2.930536,3.827230692
NODE_205_length_2954_cov_2.343222,3.025321007
NODE_206_length_2946_cov_2.503632,3.394849777
NODE_207_length_2930_cov_2.972522,4.019783974
NODE_208_length_2929_cov_3.017397,3.933069468
NODE_209_length_2929_cov_2.671190,3.622526169
NODE_210_length_2928_cov_1.958928,2.638948917
NODE_211_length_2928_cov_1.816916,2.414686918
NODE_212_length_2923_cov_3.244073,4.0782547
NODE_213_length_2913_cov_2.837299,3.570756435
NODE_214_length_2912_cov_3.354218,4.552498341
NODE_215_length_2900_cov_2.042531,2.512000084
NODE_216_length_2894_cov_3.918633,4.746355534
NODE_217_length_2885_cov_2.491519,3.245703936
NODE_218_length_2885_cov_2.296820,2.994881153
NODE_219_length_2883_cov_2.841231,3.643249273
NODE_220_length_2878_cov_3.129649,4.171920776
NODE_221_length_2875_cov_3.086879,3.884403706
NODE_222_length_2874_cov_2.913444,3.743025064
NODE_223_length_2854_cov_49.045373,57.84948349
NODE_224_length_2853_cov_2.161187,2.925638199
NODE_225_length_2845_cov_2.737634,3.604823828
NODE_226_length_2835_cov_2.700360,3.57392931
NODE_227_length_2835_cov_2.270144,3.19776535
NODE_228_length_2826_cov_3.444966,4.573243618
NODE_229_length_2818_cov_3.389794,4.405921936
NODE_230_length_2818_cov_2.129569,2.757121325
NODE_231_length_2814_cov_3.341428,4.088963985
NODE_232_length_2812_cov_2.437795,3.105184078
NODE_233_length_2809_cov_3.122731,4.075968266
NODE_234_length_2798_cov_2.656580,3.439199448
NODE_235_length_2794_cov_2.031398,2.708396435
NODE_236_length_2792_cov_2.312751,2.771763802
NODE_237_length_2784_cov_2.877611,3.987471581
NODE_238_length_2774_cov_2.605370,3.411585331
NODE_239_length_2757_cov_3.278682,4.399309635
NODE_240_length_2755_cov_3.012593,3.751247644
NODE_241_length_2755_cov_1.638889,2.037620068
NODE_242_length_2747_cov_2.916419,3.826723099
NODE_243_length_2739_cov_2.646423,3.677867889
NODE_244_length_2736_cov_3.174189,4.153132439
NODE_245_length_2730_cov_3.259065,4.229845047
NODE_246_length_2707_cov_2.589367,3.398905039
NODE_247_length_2693_cov_2.551175,3.357845068
NODE_248_length_2685_cov_2.162357,2.978698254
NODE_249_length_2679_cov_2.350610,3.184658051
NODE_250_length_2675_cov_3.090076,4.102178097
NODE_251_length_2673_cov_2.983957,4.143479824
NODE_252_length_2671_cov_2.378440,3.080920219
NODE_253_length_2670_cov_2.156405,2.838888884
NODE_254_length_2669_cov_1.739097,2.364033461
NODE_255_length_2667_cov_3.293645,4.280889988
NODE_256_length_2660_cov_2.661420,3.506374598
NODE_257_length_2658_cov_2.046485,2.624800682
NODE_258_length_2654_cov_1.677953,2.192092657
NODE_259_length_2650_cov_3.161850,4.10559988
NODE_260_length_2648_cov_2.114539,2.76701355
NODE_261_length_2643_cov_3.086940,3.952667475
NODE_262_length_2635_cov_3.145349,4.2615695
NODE_263_length_2634_cov_1.582784,2.216586113
NODE_264_length_2632_cov_2.911913,3.863819599
NODE_265_length_2629_cov_3.957653,4.793868542
NODE_266_length_2609_cov_2.237275,2.955672979
NODE_267_length_2604_cov_3.519419,4.386308193
NODE_268_length_2599_cov_3.242925,4.173948765
NODE_269_length_2592_cov_3.018132,3.964782953
NODE_270_length_2580_cov_3.345743,4.425102711
NODE_271_length_2575_cov_3.167460,4.085361004
NODE_272_length_2573_cov_2.731533,3.536937714
NODE_273_length_2571_cov_2.618045,3.400247812
NODE_274_length_2570_cov_2.513718,3.308677673
NODE_275_length_2567_cov_2.562898,3.352916956
NODE_276_length_2564_cov_4.947389,5.955675125
NODE_277_length_2555_cov_3.259600,4.134719372
NODE_278_length_2553_cov_2.823459,3.752809048
NODE_279_length_2549_cov_1.730553,2.07169652
NODE_280_length_2548_cov_2.371039,3.009174347
NODE_281_length_2545_cov_2.404418,3.19373703
NODE_282_length_2541_cov_84.983508,105.2107925
NODE_283_length_2534_cov_2.431626,3.226510048
NODE_284_length_2533_cov_3.248991,4.184641361
NODE_285_length_2522_cov_2.020268,2.619730234
NODE_286_length_2520_cov_3.089249,4.212658405
NODE_287_length_2516_cov_3.748476,4.875739574
NODE_288_length_2516_cov_2.718813,3.578191042
NODE_289_length_2515_cov_2.241463,2.962790728
NODE_290_length_2513_cov_2.353946,3.091832399
NODE_291_length_2511_cov_2.488192,3.443032503
NODE_292_length_2509_cov_2.788509,3.579058886
NODE_293_length_2509_cov_2.182152,2.789317608
NODE_294_length_2507_cov_1.974715,2.781926155
NODE_295_length_2506_cov_2.490820,3.275042534
NODE_296_length_2505_cov_3.086122,4.064543724
NODE_297_length_2492_cov_2.820681,3.563620806
NODE_298_length_2490_cov_3.340862,4.397435665
NODE_299_length_2484_cov_1.802388,2.483290434
NODE_300_length_2480_cov_2.002062,2.810729504
NODE_301_length_2478_cov_2.106892,3.008591175
NODE_302_length_2477_cov_1.723369,2.307692289
NODE_303_length_2475_cov_2.866942,3.783225775
NODE_304_length_2475_cov_2.558264,3.468817234
NODE_305_length_2473_cov_2.030190,2.705983639
NODE_306_length_2468_cov_4.314546,5.735116482
NODE_307_length_2467_cov_3.787728,4.833837032
NODE_308_length_2467_cov_2.490050,3.236944437
NODE_309_length_2463_cov_2.707226,3.606571436
NODE_310_length_2462_cov_2215.984213,2714.022949
NODE_311_length_2452_cov_2.843972,3.582536936
NODE_312_length_2449_cov_2.137845,2.714658499
NODE_313_length_2444_cov_3.109669,3.993025303
NODE_314_length_2438_cov_2.770038,3.608391523
NODE_315_length_2426_cov_2.255167,3.23462224
NODE_316_length_2424_cov_2.692275,3.520228624
NODE_317_length_2423_cov_2.592061,3.42146945
NODE_318_length_2422_cov_3.185467,4.257042408
NODE_319_length_2414_cov_1.991946,2.549028158
NODE_320_length_2409_cov_2.128292,2.787959337
NODE_321_length_2405_cov_2.612766,3.465631962
NODE_322_length_2394_cov_2.758016,3.734848499
NODE_323_length_2394_cov_2.520308,3.354278088
NODE_324_length_2392_cov_2.632435,3.438447714
NODE_325_length_2382_cov_3.449076,4.505824566
NODE_326_length_2382_cov_2.468414,3.225806475
NODE_327_length_2381_cov_2.606621,3.368892908
NODE_328_length_2379_cov_2.542169,3.387617826
NODE_329_length_2371_cov_3.028066,4.04097271
NODE_330_length_2363_cov_2.704939,3.56619978
NODE_331_length_2359_cov_4.206597,5.522408485
NODE_332_length_2359_cov_3.542101,4.651425838
NODE_333_length_2352_cov_3.100566,4.074477673
NODE_334_length_2352_cov_2.701350,3.979563951
NODE_335_length_2348_cov_2.796773,3.632393122
NODE_336_length_2344_cov_2.918742,3.802643538
NODE_337_length_2337_cov_3.022787,3.779149532
NODE_338_length_2336_cov_2.296800,3.065416336
NODE_339_length_2335_cov_2.483772,3.352860451
NODE_340_length_2332_cov_3.050066,3.99679184
NODE_341_length_2327_cov_2.455546,3.151584864
NODE_342_length_2323_cov_3.652116,4.922687531
NODE_343_length_2321_cov_2.968667,3.975587368
NODE_344_length_2318_cov_2.781264,3.60701108
NODE_345_length_2316_cov_1.796108,2.42613101
NODE_346_length_2306_cov_2.351844,3.067718029
NODE_347_length_2305_cov_2.942222,3.768909454
NODE_348_length_2299_cov_1.700980,2.241507769
NODE_349_length_2298_cov_2.027196,2.645716906
NODE_350_length_2296_cov_2.471664,3.172413826
NODE_351_length_2294_cov_2.567664,3.484141827
NODE_352_length_2290_cov_2.764653,3.587850571
NODE_353_length_2290_cov_2.706488,3.631308317
NODE_354_length_2289_cov_3.160698,4.079944134
NODE_355_length_2286_cov_3.231286,4.271067619
NODE_356_length_2285_cov_3.040359,3.900702477
NODE_357_length_2285_cov_2.709865,3.420140505
NODE_358_length_2284_cov_2.139524,2.920805931
NODE_359_length_2284_cov_2.133244,2.715557575
NODE_360_length_2282_cov_2.877414,3.631332159
NODE_361_length_2282_cov_1.569376,2.060506582
NODE_362_length_2280_cov_2.029663,2.726760626
NODE_363_length_2279_cov_2.732914,3.438703537
NODE_364_length_2276_cov_3.054480,4.090780735
NODE_365_length_2276_cov_2.470059,3.293509007
NODE_366_length_2265_cov_2.138009,2.967375994
NODE_367_length_2264_cov_2.229063,3.002838135
NODE_368_length_2259_cov_2.809437,3.680417299
NODE_369_length_2258_cov_2.994099,3.868595839
NODE_370_length_2258_cov_1.974126,2.639943123
NODE_371_length_2252_cov_2.090578,2.766888618
NODE_372_length_2252_cov_2.040055,2.702664137
NODE_373_length_2251_cov_4.740437,5.805330753
NODE_374_length_2251_cov_2.263661,2.960019112
NODE_375_length_2245_cov_2.779452,3.215274572
NODE_376_length_2244_cov_2.734582,3.603629351
NODE_377_length_2241_cov_2.870082,3.598756552
NODE_378_length_2240_cov_2.385355,3.072248697
NODE_379_length_2238_cov_2.977554,3.800287247
NODE_380_length_2237_cov_3.132906,4.020124435
NODE_381_length_2225_cov_2.154378,2.904096365
NODE_382_length_2224_cov_2.211618,2.946962357
NODE_383_length_2222_cov_2.558376,3.292470932
NODE_384_length_2222_cov_2.455468,3.368725777
NODE_385_length_2220_cov_4.036028,5.287439823
NODE_386_length_2220_cov_3.094226,4.043478489
NODE_387_length_2219_cov_2.271257,3.256645679
NODE_388_length_2219_cov_1.985213,2.609956503
NODE_389_length_2215_cov_3.151852,4.246005058
NODE_390_length_2214_cov_2.366373,3.08381772
NODE_391_length_2213_cov_2.164968,2.849248648
NODE_392_length_2212_cov_2.722763,3.536372423
NODE_393_length_2208_cov_3.536461,4.660349846
NODE_394_length_2208_cov_2.288899,3.055879593
NODE_395_length_2201_cov_1.719944,2.235982418
NODE_396_length_2197_cov_1.977124,2.582315683
NODE_397_length_2196_cov_2.666044,3.521505356
NODE_398_length_2195_cov_1.997196,2.653789759
NODE_399_length_2189_cov_2.477976,3.286414862
NODE_400_length_2188_cov_3.113924,4.006378651
NODE_401_length_2185_cov_2.015962,2.795577288
NODE_402_length_2178_cov_2.274140,2.96400404
NODE_403_length_2177_cov_1.910933,2.65959549
NODE_404_length_2171_cov_8.409735,10.38495827
NODE_405_length_2170_cov_2.941371,3.86287117
NODE_406_length_2160_cov_2.942518,3.857711554
NODE_407_length_2155_cov_2.411905,3.243890285
NODE_408_length_2153_cov_7.259771,8.730404854
NODE_409_length_2153_cov_3.171115,4.052920818
NODE_410_length_2153_cov_3.051954,3.785321951
NODE_411_length_2151_cov_2.772901,3.607196331
NODE_412_length_2147_cov_3.035373,3.998497725
NODE_413_length_2145_cov_1.830622,2.382957458
NODE_414_length_2140_cov_2.920863,3.889949799
NODE_415_length_2136_cov_3.202787,4.290030003
NODE_416_length_2133_cov_1.997113,2.699445248
NODE_417_length_2130_cov_3.600964,4.668686867
NODE_418_length_2130_cov_3.163855,4.152525425
NODE_419_length_2128_cov_6.953208,7.365520954
NODE_420_length_2125_cov_3.572947,4.662784576
NODE_421_length_2121_cov_1.585189,2.263318062
NODE_422_length_2119_cov_2.619671,3.454037666
NODE_423_length_2116_cov_2.396410,3.177009106
NODE_424_length_2116_cov_2.019408,2.810274601
NODE_425_length_2114_cov_3.131617,4.150712967
NODE_426_length_2114_cov_2.329772,3.050916433
NODE_427_length_2112_cov_3.057851,3.948012114
NODE_428_length_2109_cov_1.971762,2.565594673
NODE_429_length_2108_cov_2.530443,3.346782446
NODE_430_length_2108_cov_2.381880,3.120531082
NODE_431_length_2108_cov_1.766683,2.287027597
NODE_432_length_2102_cov_3.421104,4.565061569
NODE_433_length_2094_cov_2.593919,3.380658388
NODE_434_length_2093_cov_1.804711,2.411734343
NODE_435_length_2089_cov_135.614061,165.6786957
NODE_436_length_2089_cov_3.062930,4.079422474
NODE_437_length_2087_cov_2.092028,2.847702742
NODE_438_length_2079_cov_3.178854,4.240539074
NODE_439_length_2078_cov_2034.258527,748.9709473
NODE_440_length_2077_cov_2.409496,2.842760801
NODE_441_length_2074_cov_2.352155,2.872141361
NODE_442_length_2074_cov_1.902427,2.490644455
NODE_443_length_2072_cov_2.812593,3.539542198
NODE_444_length_2072_cov_1.590481,2.120707512
NODE_445_length_2063_cov_2.253486,3.007318258
NODE_446_length_2063_cov_2.104084,2.845269203
NODE_447_length_2062_cov_43.863976,53.72175598
NODE_448_length_2062_cov_2.202790,2.910041809
NODE_449_length_2061_cov_2.944167,3.590790272
NODE_450_length_2060_cov_2.826933,3.708900452
NODE_451_length_2060_cov_2.441895,3.035602093
NODE_452_length_2055_cov_2.130000,2.839370012
NODE_453_length_2053_cov_4.897898,5.72149229
NODE_454_length_2046_cov_2.851833,3.726265907
NODE_455_length_2045_cov_2.357286,3.064907551
NODE_456_length_2033_cov_2.296764,3.101964951
NODE_457_length_2033_cov_2.223964,2.9166224
NODE_458_length_2032_cov_2.972180,3.955366611
NODE_459_length_2031_cov_2.307692,2.979266405
NODE_460_length_2027_cov_2.093306,2.915290356
NODE_461_length_2026_cov_3.077118,4.094882965
NODE_462_length_2023_cov_1.885163,2.478910923
NODE_463_length_2016_cov_3.273330,4.278670788
NODE_464_length_2016_cov_2.582356,3.336548805
NODE_465_length_2014_cov_1.769270,2.310085773
NODE_466_length_2013_cov_2.686415,3.434245825
NODE_467_length_2013_cov_2.630235,3.497584581
NODE_468_length_2011_cov_1.811350,2.3718431
NODE_469_length_2009_cov_1.772262,2.271113396
NODE_470_length_2006_cov_2.025628,2.700969934
NODE_471_length_2005_cov_3.351282,4.561185837
NODE_472_length_2005_cov_2.236923,2.9320755
NODE_473_length_2003_cov_3.330595,4.579061031
NODE_474_length_2002_cov_2.966615,4.029157639
NODE_475_length_2001_cov_1.579651,2.073473692
NODE_476_length_2001_cov_1.440391,1.972987533
NODE_477_length_1999_cov_2.404321,3.154678106
NODE_478_length_1995_cov_1.485052,1.934417367
NODE_479_length_1992_cov_2.233351,2.953854561
NODE_480_length_1990_cov_1.861499,2.503804445
NODE_481_length_1988_cov_7.474392,9.293797493
NODE_482_length_1985_cov_2.237306,2.976021767
NODE_483_length_1983_cov_2.917531,3.84779048
NODE_484_length_1979_cov_2.308212,3.03007102
NODE_485_length_1976_cov_3.192087,4.130887032
NODE_486_length_1975_cov_3.162500,4.083835602
NODE_487_length_1975_cov_1.346875,1.822465777
NODE_488_length_1974_cov_2.942678,3.97971487
NODE_489_length_1973_cov_3.081856,4.146461964
NODE_490_length_1971_cov_2.682150,3.504667759
NODE_491_length_1970_cov_2.338381,3.264835119
NODE_492_length_1964_cov_2.177056,2.876516104
NODE_493_length_1963_cov_2.795597,3.624931097
NODE_494_length_1962_cov_2.088621,2.825055122
NODE_495_length_1959_cov_2.678571,3.595356464
NODE_496_length_1959_cov_2.497374,2.804864645
NODE_497_length_1955_cov_2.985789,4.114681244
NODE_498_length_1950_cov_5.001583,6.053888798
NODE_499_length_1948_cov_2.626519,3.59010005
NODE_500_length_1947_cov_2.220930,2.920423031
NODE_501_length_1947_cov_1.998943,2.628269434
NODE_502_length_1942_cov_2.697403,3.6640625
NODE_503_length_1941_cov_3.010074,3.723618031
NODE_504_length_1941_cov_2.947508,3.956448793
NODE_505_length_1940_cov_1.987798,2.740782022
NODE_506_length_1937_cov_2.818810,3.769445896
NODE_507_length_1937_cov_2.443146,3.350307703
NODE_508_length_1937_cov_2.243358,2.963626146
NODE_509_length_1933_cov_2.284878,3.121705055
NODE_510_length_1933_cov_2.194356,2.942232132
NODE_511_length_1933_cov_1.758253,2.385866404
NODE_512_length_1932_cov_3.291422,4.204825878
NODE_513_length_1932_cov_2.827917,3.960718393
NODE_514_length_1931_cov_2.169510,2.849522829
NODE_515_length_1930_cov_2.145067,3.051123619
NODE_516_length_1927_cov_3.001068,3.967923403
NODE_517_length_1926_cov_4.228755,5.268018246
NODE_518_length_1920_cov_3.230027,4.227683544
NODE_519_length_1918_cov_2.135266,2.595022678
NODE_520_length_1918_cov_1.761675,2.290724039
NODE_521_length_1916_cov_2.996239,4
NODE_522_length_1916_cov_1.860290,2.505096197
NODE_523_length_1913_cov_2.374596,2.996029377
NODE_524_length_1913_cov_1.611410,2.319342136
NODE_525_length_1910_cov_3.237736,4.333522797
NODE_526_length_1907_cov_3.089093,4.118952751
NODE_527_length_1907_cov_2.860151,3.840637445
NODE_528_length_1905_cov_779.238378,947.6592407
NODE_529_length_1899_cov_1.975597,2.515723228
NODE_530_length_1897_cov_3.178610,3.97710371
NODE_531_length_1897_cov_2.300760,3.024613619
NODE_532_length_1897_cov_1.836591,2.533485889
NODE_533_length_1895_cov_3.084239,4.234957218
NODE_534_length_1895_cov_1.783152,2.37191987
NODE_535_length_1894_cov_2.641653,3.701834917
NODE_536_length_1893_cov_2.187160,2.88296032
NODE_537_length_1893_cov_1.548422,2.017211676
NODE_538_length_1892_cov_2.396298,2.829506397
NODE_539_length_1892_cov_1.389222,1.893800259
NODE_540_length_1891_cov_2.881264,3.465824127
NODE_541_length_1891_cov_2.308824,3.060310125
NODE_542_length_1890_cov_1.898093,2.57873559
NODE_543_length_1889_cov_19.715921,23.57849312
NODE_544_length_1889_cov_3.270992,4.296722412
NODE_545_length_1889_cov_2.999455,4.06498003
NODE_546_length_1889_cov_2.762814,3.482461214
NODE_547_length_1879_cov_1.899123,2.500867605
NODE_548_length_1877_cov_2.554885,3.419803143
NODE_549_length_1876_cov_3.431631,4.447277069
NODE_550_length_1876_cov_3.116969,4.185399532
NODE_551_length_1876_cov_2.332235,2.947276831
NODE_552_length_1870_cov_2.867218,4.037790775
NODE_553_length_1867_cov_3.587748,4.797320843
NODE_554_length_1866_cov_2.329100,3.056526899
NODE_555_length_1858_cov_2.260122,3.222482443
NODE_556_length_1855_cov_3.125556,4.216422081
NODE_557_length_1855_cov_2.135556,2.923753738
NODE_558_length_1853_cov_1.684093,2.224897146
NODE_559_length_1852_cov_3.361714,4.430669785
